ts,user_id,action,duration,value,date
2026-01-30 02:25:00,u001,login,141.0,223.21,2026-01-30
2026-01-25 19:41:00,u001,logout,217.0,29.8,2026-01-25
2026-01-11 14:07:00,u005,logout,14.0,529.4301176470588,2026-01-11
2026-01-11 00:46:00,u004,logout,143.0,758.81,2026-01-11
2026-01-20 05:36:00,u003,click,80.0,529.4301176470588,2026-01-20
2026-01-05 15:38:00,u001,buy,0.0,529.4301176470588,2026-01-05
2026-01-04 14:04:00,u005,click,186.0,704.57,2026-01-04
2026-01-11 08:55:00,u003,login,120.0,529.4301176470588,2026-01-11
2026-01-29 22:20:00,u003,view,0.0,529.4301176470588,2026-01-29
2026-01-30 11:49:00,u001,logout,88.0,529.4301176470588,2026-01-30
2026-01-11 10:10:00,u001,click,0.0,529.4301176470588,2026-01-11
2026-01-27 13:22:00,u004,click,113.0,509.53,2026-01-27
2026-01-03 03:27:00,u001,view,0.0,529.4301176470588,2026-01-03
2026-01-18 08:49:00,u005,buy,0.0,971.08,2026-01-18
2026-01-08 04:45:00,u004,login,135.0,507.68,2026-01-08
2026-01-29 10:59:00,u003,logout,102.0,373.91,2026-01-29
2026-01-25 13:08:00,u005,login,0.0,529.4301176470588,2026-01-25
2026-01-14 23:53:00,u002,login,124.0,529.4301176470588,2026-01-14
2026-01-04 03:35:00,u005,view,0.0,946.85,2026-01-04
2026-01-13 01:30:00,u005,logout,217.0,928.91,2026-01-13
2026-01-15 04:28:00,u004,click,0.0,121.0,2026-01-15
2026-01-03 21:56:00,u003,login,284.0,588.44,2026-01-03
2026-01-04 05:23:00,u005,view,0.0,214.24,2026-01-04
2026-01-26 23:43:00,u005,buy,0.0,807.5,2026-01-26
2026-01-05 07:01:00,u001,buy,0.0,411.1,2026-01-05
2026-01-12 07:35:00,u002,view,0.0,140.18,2026-01-12
2026-01-13 16:14:00,u004,view,0.0,808.02,2026-01-13
2026-01-08 13:39:00,u004,buy,247.0,864.65,2026-01-08
2026-01-08 11:49:00,u004,login,0.0,529.4301176470588,2026-01-08
2026-01-13 23:34:00,u004,logout,250.0,189.9,2026-01-13
2026-01-03 15:52:00,u005,logout,0.0,529.4301176470588,2026-01-03
2026-01-23 21:14:00,u005,view,30.0,851.34,2026-01-23
2026-01-28 01:56:00,u001,view,207.0,941.6,2026-01-28
2026-01-27 08:20:00,u005,login,0.0,529.4301176470588,2026-01-27
2026-01-12 20:49:00,u002,click,0.0,529.4301176470588,2026-01-12
2026-01-21 19:24:00,u003,login,0.0,621.16,2026-01-21
2026-01-04 08:01:00,u005,view,0.0,529.4301176470588,2026-01-04
2026-01-04 03:08:00,u002,click,146.0,529.4301176470588,2026-01-04
2026-01-07 02:40:00,u003,login,55.0,272.35,2026-01-07
2026-01-16 14:31:00,u002,click,0.0,251.12,2026-01-16
2026-01-29 23:53:00,u003,view,0.0,560.91,2026-01-29
2026-01-20 13:26:00,u002,login,0.0,898.98,2026-01-20
2026-01-17 06:49:00,u002,view,0.0,529.4301176470588,2026-01-17
2026-01-19 18:20:00,u001,view,0.0,802.24,2026-01-19
2026-01-13 03:25:00,u002,login,196.0,858.59,2026-01-13
2026-01-10 01:59:00,u004,click,157.0,222.92,2026-01-10
2026-01-19 03:13:00,u003,click,0.0,529.4301176470588,2026-01-19
2026-01-25 09:41:00,u003,login,0.0,529.4301176470588,2026-01-25
2026-01-02 17:47:00,u001,logout,0.0,529.4301176470588,2026-01-02
2026-01-20 20:39:00,u005,logout,0.0,899.5,2026-01-20
2026-01-12 14:13:00,u001,buy,1.0,364.22,2026-01-12
2026-01-16 00:39:00,u005,click,0.0,529.4301176470588,2026-01-16
2026-01-15 20:16:00,u004,click,284.0,529.4301176470588,2026-01-15
2026-01-08 22:05:00,u005,logout,0.0,547.94,2026-01-08
2026-01-14 19:54:00,u003,view,0.0,529.4301176470588,2026-01-14
2026-01-10 17:25:00,u005,buy,87.0,529.4301176470588,2026-01-10
2026-01-05 06:00:00,u002,click,116.0,147.35,2026-01-05
2026-01-12 03:26:00,u004,logout,0.0,414.44,2026-01-12
2026-01-18 11:24:00,u004,buy,125.0,656.06,2026-01-18
2026-01-05 20:25:00,u004,view,0.0,50.22,2026-01-05
2026-01-06 12:33:00,u004,view,0.0,529.4301176470588,2026-01-06
2026-01-21 11:35:00,u003,view,0.0,529.4301176470588,2026-01-21
2026-01-21 00:27:00,u001,click,0.0,335.85,2026-01-21
2026-01-07 07:08:00,u002,view,197.0,706.42,2026-01-07
2026-01-19 21:08:00,u004,click,0.0,415.77,2026-01-19
2026-01-20 02:54:00,u004,logout,0.0,529.4301176470588,2026-01-20
2026-01-14 14:09:00,u004,buy,276.0,529.4301176470588,2026-01-14
2026-01-20 20:02:00,u004,login,0.0,529.4301176470588,2026-01-20
2026-01-08 12:16:00,u004,view,274.0,906.93,2026-01-08
2026-01-18 06:04:00,u003,view,0.0,529.4301176470588,2026-01-18
2026-01-13 15:55:00,u004,click,0.0,19.38,2026-01-13
2026-01-16 22:15:00,u002,login,21.0,949.61,2026-01-16
2026-01-01 22:15:00,u005,view,123.0,473.56,2026-01-01
2026-01-26 16:00:00,u002,buy,0.0,167.79,2026-01-26
2026-01-08 10:52:00,u003,login,297.0,529.4301176470588,2026-01-08
2026-01-28 07:48:00,u001,logout,0.0,529.4301176470588,2026-01-28
2026-01-04 03:19:00,u005,click,0.0,822.33,2026-01-04
2026-01-20 17:31:00,u003,buy,0.0,529.4301176470588,2026-01-20
2026-01-29 00:44:00,u005,buy,0.0,529.4301176470588,2026-01-29
2026-01-15 16:02:00,u002,login,0.0,529.4301176470588,2026-01-15
2026-01-26 22:25:00,u005,buy,173.0,529.4301176470588,2026-01-26
2026-01-09 06:37:00,u004,view,0.0,529.4301176470588,2026-01-09
2026-01-26 07:04:00,u001,logout,98.0,529.4301176470588,2026-01-26
2026-01-23 05:39:00,u005,view,0.0,448.17,2026-01-23
2026-01-05 05:38:00,u003,view,208.0,529.4301176470588,2026-01-05
2026-01-22 12:55:00,u005,logout,0.0,529.4301176470588,2026-01-22
2026-01-09 18:21:00,u003,login,275.0,529.4301176470588,2026-01-09
2026-01-14 11:34:00,u002,click,0.0,14.15,2026-01-14
2026-01-13 11:37:00,u001,login,0.0,697.42,2026-01-13
2026-01-30 00:43:00,u004,login,0.0,529.4301176470588,2026-01-30
2026-01-16 12:08:00,u002,login,0.0,114.09,2026-01-16
