ts,user_id,action,duration,value
2026-01-30T02:25:00,u001,login,141.0,223.21
2026-01-25T19:41:00,u001,logout,217.0,29.8
2026-01-11T14:07:00,u005,logout,14.0,
2026-01-11T00:46:00,u004,logout,143.0,758.81
2026-01-20T05:36:00,u003,click,80.0,
2026-01-05T15:38:00,u001,buy,,
2026-01-02T23:27:00,,buy,275.0,
2026-01-04T14:04:00,u005,click,186.0,704.57
2026-01-11T08:55:00,u003,login,120.0,
2026-01-29T22:20:00,u003,view,,
2026-01-30T11:49:00,u001,logout,88.0,
2026-01-13T06:51:00,,logout,,842.85
2026-01-11T10:10:00,u001,click,,
2026-01-10T16:14:00,,buy,,142.87
2026-01-12T05:22:00,,logout,,
2026-01-27T13:22:00,u004,click,113.0,509.53
2026-01-03T03:27:00,u001,view,,
2026-01-18T08:49:00,u005,buy,,971.08
2026-01-06T05:07:00,,logout,,
2026-01-08T04:45:00,u004,login,135.0,507.68
2026-01-29T10:59:00,u003,logout,102.0,373.91
2026-01-25T13:08:00,u005,login,,
2026-01-14T23:53:00,u002,login,124.0,
2026-01-04T03:35:00,u005,view,,946.85
2026-01-13T01:30:00,u005,logout,217.0,928.91
2026-01-15T04:28:00,u004,click,,121.0
2026-01-03T21:56:00,u003,login,284.0,588.44
2026-01-04T05:32:00,,login,118.0,
2026-01-04T05:23:00,u005,view,,214.24
2026-01-26T23:43:00,u005,buy,,807.5
2026-01-05T07:01:00,u001,buy,,411.1
2026-01-30T17:44:00,,login,,728.21
2026-01-12T07:35:00,u002,view,,140.18
2026-01-13T16:14:00,u004,view,,808.02
2026-01-03T07:15:00,,logout,8.0,926.37
2026-01-08T13:39:00,u004,buy,247.0,864.65
2026-01-08T11:49:00,u004,login,,
2026-01-13T23:34:00,u004,logout,250.0,189.9
2026-01-03T15:52:00,u005,logout,,
2026-01-23T21:14:00,u005,view,30.0,851.34
2026-01-28T01:56:00,u001,view,207.0,941.6
2026-01-27T08:20:00,u005,login,,
2026-01-12T20:49:00,u002,click,,
2026-01-21T19:24:00,u003,login,,621.16
2026-01-04T08:01:00,u005,view,,
2026-01-04T03:08:00,u002,click,146.0,
2026-01-28T20:06:00,,logout,,931.76
2026-01-07T02:40:00,u003,login,55.0,272.35
2026-01-16T14:31:00,u002,click,,251.12
2026-01-05T04:48:00,,buy,142.0,3.55
2026-01-29T23:53:00,u003,view,,560.91
2026-01-04T10:11:00,,view,280.0,834.6
2026-01-20T13:26:00,u002,login,,898.98
2026-01-17T06:49:00,u002,view,,
2026-01-29T05:55:00,,view,122.0,976.21
2026-01-19T18:20:00,u001,view,,802.24
2026-01-13T03:25:00,u002,login,196.0,858.59
2026-01-10T01:59:00,u004,click,157.0,222.92
2026-01-19T03:13:00,u003,click,,
2026-01-25T09:41:00,u003,login,,
2026-01-02T17:47:00,u001,logout,,
2026-01-20T20:39:00,u005,logout,,899.5
2026-01-12T14:13:00,u001,buy,1.0,364.22
2026-01-16T00:39:00,u005,click,,
2026-01-15T20:16:00,u004,click,284.0,
2026-01-08T22:05:00,u005,logout,,547.94
2026-01-14T19:54:00,u003,view,,
2026-01-10T17:25:00,u005,buy,87.0,
2026-01-05T06:00:00,u002,click,116.0,147.35
2026-01-12T03:26:00,u004,logout,,414.44
2026-01-18T11:24:00,u004,buy,125.0,656.06
2026-01-05T20:25:00,u004,view,,50.22
2026-01-06T12:33:00,u004,view,,
2026-01-28T21:10:00,,logout,,
2026-01-21T11:35:00,u003,view,,
2026-01-21T00:27:00,u001,click,,335.85
2026-01-07T07:08:00,u002,view,197.0,706.42
2026-01-19T21:08:00,u004,click,,415.77
2026-01-20T02:54:00,u004,logout,,
2026-01-14T14:09:00,u004,buy,276.0,
2026-01-20T20:02:00,u004,login,,
2026-01-08T12:16:00,u004,view,274.0,906.93
2026-01-04T19:41:00,,buy,,
2026-01-18T06:04:00,u003,view,,
2026-01-13T15:55:00,u004,click,,19.38
2026-01-16T22:15:00,u002,login,21.0,949.61
2026-01-01T22:15:00,u005,view,123.0,473.56
2026-01-26T16:00:00,u002,buy,,167.79
2026-01-08T10:52:00,u003,login,297.0,
2026-01-19T01:15:00,,view,39.0,
2026-01-28T07:48:00,u001,logout,,
2026-01-04T03:19:00,u005,click,,822.33
2026-01-20T17:31:00,u003,buy,,
2026-01-29T00:44:00,u005,buy,,
2026-01-15T16:02:00,u002,login,,
2026-01-26T22:25:00,u005,buy,173.0,
2026-01-09T06:37:00,u004,view,,
